correct,false_negative,false_positive,max_probe_bytes,mean_decision_byte,mean_oracle_regret_bpb,min_projected_gain_bits,persistence_observations,recent_gain_bits,recent_window
11,1,2,64,26.428571428571427,0.008527483258928572,32,2,2,16
11,1,2,64,26.428571428571427,0.008527483258928572,64,2,2,16
11,1,2,64,26.428571428571427,0.008527483258928572,128,2,2,16
11,2,1,64,12.571428571428571,0.032871791294642856,256,2,2,16
11,1,2,64,26.428571428571427,0.008527483258928572,0,2,3,16
11,1,2,64,26.428571428571427,0.008527483258928572,32,2,3,16
11,1,2,64,26.428571428571427,0.008527483258928572,64,2,3,16
11,1,2,64,26.428571428571427,0.008527483258928572,128,2,3,16
11,1,2,64,26.428571428571427,0.008527483258928572,256,2,3,16
11,1,2,64,26.428571428571427,0.008527483258928572,0,2,4,16
11,1,2,64,26.428571428571427,0.008527483258928572,32,2,4,16
11,1,2,64,26.428571428571427,0.008527483258928572,64,2,4,16
11,1,2,64,26.428571428571427,0.008527483258928572,128,2,4,16
11,1,2,64,26.428571428571427,0.008527483258928572,256,2,4,16
11,1,2,64,28.071428571428573,0.008527483258928572,0,4,1,16
11,1,2,64,28.071428571428573,0.008527483258928572,32,4,1,16
11,1,2,64,28.071428571428573,0.008527483258928572,64,4,1,16
11,2,1,64,13.928571428571429,0.032871791294642856,128,4,1,16
7,7,0,64,0,0.08292061941964286,256,4,1,16
11,1,2,64,28.071428571428573,0.008527483258928572,0,4,2,16
11,1,2,64,28.071428571428573,0.008527483258928572,32,4,2,16
11,1,2,64,28.071428571428573,0.008527483258928572,64,4,2,16
11,1,2,64,28.071428571428573,0.008527483258928572,128,4,2,16
11,2,1,64,13.928571428571429,0.032871791294642856,256,4,2,16
11,1,2,64,28.071428571428573,0.008527483258928572,0,4,3,16
11,1,2,64,28.071428571428573,0.008527483258928572,32,4,3,16
11,1,2,64,28.071428571428573,0.008527483258928572,64,4,3,16
11,1,2,64,28.071428571428573,0.008527483258928572,128,4,3,16
11,1,2,64,28.071428571428573,0.008527483258928572,256,4,3,16
11,1,2,64,28.071428571428573,0.008527483258928572,0,4,4,16
11,1,2,64,28.071428571428573,0.008527483258928572,32,4,4,16
11,1,2,64,28.071428571428573,0.008527483258928572,64,4,4,16
11,1,2,64,28.071428571428573,0.008527483258928572,128,4,4,16
11,1,2,64,28.071428571428573,0.008527483258928572,256,4,4,16
11,1,2,64,30.357142857142858,0.008527483258928572,0,8,1,16
11,1,2,64,30.357142857142858,0.008527483258928572,32,8,1,16
11,1,2,64,30.357142857142858,0.008527483258928572,64,8,1,16
11,2,1,64,15.642857142857142,0.032871791294642856,128,8,1,16
7,7,0,64,0,0.08292061941964286,256,8,1,16
11,1,2,64,31,0.008527483258928572,0,8,2,16
11,1,2,64,31,0.008527483258928572,32,8,2,16
11,1,2,64,31,0.008527483258928572,64,8,2,16
11,1,2,64,31,0.008527483258928572,128,8,2,16
11,2,1,64,15.642857142857142,0.032871791294642856,256,8,2,16
11,1,2,64,31,0.008527483258928572,0,8,3,16
