block_index,bytes,cheap_payload_bits,distinct_transition_count,hybrid_model_evaluations,hybrid_payload_bits,hybrid_saving_bits,longest_run,max_hist_count,neural_model_evaluations,neural_payload_bits,probe_code_bits_ceil,probe_code_bits_floor,start,stream,surprise_early_minus_late,surprise_max_ceil,surprise_range_ceil,surprise_sum_ceil,surprise_variance_proxy,transition_count,unique_count,very_surprising_count
1,512,2347,13,511,2100,247,3,3,511,2056,125,124,512,p13-mix-d,-9,9,7,135,735,13,11,13
2,512,2144,15,511,2019,125,1,2,511,2010,125,124,1024,p13-mix-d,1,9,1,139,55,15,12,11
3,512,1264,15,219,1266,-2,2,2,219,1232,128,127,1536,p13-mix-d,1,9,1,141,39,14,14,13
4,512,4023,15,511,4043,-20,1,3,511,4020,126,125,2048,p13-mix-d,3,9,2,139,87,15,13,12
5,512,3186,15,511,3030,156,1,1,511,3030,129,128,2560,p13-mix-d,-1,9,1,143,15,15,16,15
6,512,2295,14,511,2077,218,1,3,511,2017,123,122,3072,p13-mix-d,4,9,2,136,96,15,10,9
7,512,2410,15,511,2061,349,2,3,511,2036,130,129,3584,p13-mix-d,-1,9,1,141,39,13,12,13
0,512,4170,15,511,4165,5,1,2,511,4175,128,127,0,p13-mix-e,0,9,1,142,28,15,15,14
1,512,2829,13,511,2572,257,2,4,511,2549,127,126,512,p13-mix-e,-8,9,6,136,544,13,10,13
2,512,2144,15,511,2019,125,1,2,511,2010,125,124,1024,p13-mix-e,1,9,1,139,55,15,12,11
3,512,1755,15,511,1765,-10,2,2,511,1731,128,127,1536,p13-mix-e,1,9,1,141,39,14,14,13
4,512,2002,10,511,1804,198,3,7,511,1804,105,104,2048,p13-mix-e,16,9,4,116,432,12,4,3
5,512,2435,15,511,2145,290,2,3,511,2090,123,122,2560,p13-mix-e,2,9,2,136,96,14,10,9
6,512,2295,14,511,2077,218,1,3,511,2017,123,122,3072,p13-mix-e,4,9,2,136,96,15,10,9
7,512,2410,15,511,2061,349,2,3,511,2036,130,129,3584,p13-mix-e,-1,9,1,141,39,13,12,13
0,512,2722,15,511,2422,300,2,2,511,2389,131,130,0,p13-mix-f,-1,9,1,141,39,13,13,13
1,512,571,15,53,597,-26,1,3,53,575,124,123,512,p13-mix-f,5,9,2,137,95,15,11,10
2,512,2131,15,511,2044,87,1,3,511,2024,125,124,1024,p13-mix-f,2,9,2,138,92,15,12,11
3,512,4191,15,511,4187,4,1,1,511,4189,129,128,1536,p13-mix-f,-1,9,1,143,15,15,16,15
4,512,3088,15,511,2963,125,1,1,511,2969,129,128,2048,p13-mix-f,-1,9,1,143,15,15,16,15
5,512,1775,15,511,1637,138,1,2,511,1576,126,125,2560,p13-mix-f,2,9,1,140,48,15,13,12
6,512,1771,14,511,1621,150,1,3,511,1562,125,124,3072,p13-mix-f,2,9,2,138,92,15,12,11
7,512,1830,14,511,1665,165,2,3,511,1629,125,124,3584,p13-mix-f,-1,9,2,137,127,14,11,11
